user_id,username,name,bio,posts_count,followers_count,following_count,profile_url
instagram_sundarpichai,sundarpichai,Sundar Pichai,CEO of Google and Alphabet,45,1200000,150,https://www.instagram.com/sundarpichai/
instagram_timcook,tim.cook,Tim Cook,CEO of Apple Inc.,78,2500000,120,https://www.instagram.com/tim.cook/
instagram_zuck,zuck,Mark Zuckerberg,Founder and CEO of Meta,112,10500000,500,https://www.instagram.com/zuck/
instagram_snarayen,snarayen,Shantanu Narayen,CEO of Adobe Inc.,35,450000,85,https://www.instagram.com/snarayen/
instagram_susanwojcicki,susanwojcicki,Susan Wojcicki,Former CEO of YouTube,67,890000,210,https://www.instagram.com/susanwojcicki/
instagram_paraga,paraga,Parag Agrawal,Former CEO of Twitter,42,780000,320,https://www.instagram.com/paraga/
instagram_reed2001,reed2001,Reed Hastings,Co-founder and former CEO of Netflix,56,1100000,175,https://www.instagram.com/reed2001/
instagram_elonmusk,elon._.musk,Elon Musk,CEO of Tesla and SpaceX,89,15000000,250,https://www.instagram.com/elon._.musk/
instagram_elonrmuskofficial,elonrmuskofficial,Elon Musk Official,CEO of Tesla Motors and SpaceX,125,8500000,120,https://www.instagram.com/elonrmuskofficial/
instagram_nvidia,nvidia,NVIDIA,Accelerated computing company,230,2800000,350,https://www.instagram.com/nvidia/
